Title,Company,Reward,URL
풀스택 Next.js 개발자 (React),웨이브이,합격보상금 100만원,https://www.wanted.co.kr//wd/234908
"대기업 커머스 Frontend 개발자(React, Next.js, TS)",이그레브,합격보상금 100만원,https://www.wanted.co.kr//wd/232910
[에어서플라이] 프론트엔드 엔지니어 (Next.js),로랩스,합격보상금 100만원,https://www.wanted.co.kr//wd/226913
프론트엔드 웹 개발자 React.js / Next.js (1~3년),클라우드호스피탈,합격보상금 100만원,https://www.wanted.co.kr//wd/207121
"Back-end 개발자 (Node.js, React, Express, Next.js), 병특",딥브레인에이아이,합격보상금 100만원,https://www.wanted.co.kr//wd/107946
"프론트엔드 개발(React/Next.js, 온보딩 지원 콘솔 외)",위메이드(WEMADE),합격보상금 100만원,https://www.wanted.co.kr//wd/227927
[플레이오] Next.js 웹 개발자,지엔에이컴퍼니,합격보상금 100만원,https://www.wanted.co.kr//wd/233795
React / Next.js 웹개발자 (2년 이상),다이노즈,합격보상금 100만원,https://www.wanted.co.kr//wd/208965
풀스택 Next.js 개발자 (React),웨이브이,합격보상금 100만원,https://www.wanted.co.kr//wd/234908
"대기업 커머스 Frontend 개발자(React, Next.js, TS)",이그레브,합격보상금 100만원,https://www.wanted.co.kr//wd/232910
[에어서플라이] 프론트엔드 엔지니어 (Next.js),로랩스,합격보상금 100만원,https://www.wanted.co.kr//wd/226913
"대기업 커머스 재구축 프로젝트 개발(ReactJS, NextJS, JAVA)",이그레브,합격보상금 100만원,https://www.wanted.co.kr//wd/224679
프론트엔드 (NextJS) 테크 리드,언더밀리,합격보상금 100만원,https://www.wanted.co.kr//wd/235033
공비서 자바/코틀린 리드 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr//wd/233000
Backend Engineer (Java/Kotlin) - Senior,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr//wd/199109
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),합격보상금 100만원,https://www.wanted.co.kr//wd/205880
Backend Engineer (Java/Kotlin) - Middle,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr//wd/229118
Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr//wd/233753
[에어클래스] Kotlin/Spring Server Developer,큐리어슬리,합격보상금 100만원,https://www.wanted.co.kr//wd/94072
Backend Engineer (Kotlin),코인원(coinone),합격보상금 100만원,https://www.wanted.co.kr//wd/171459
Backend Kotlin Developer [5~12년],크몽(kmong),합격보상금 100만원,https://www.wanted.co.kr//wd/197273
공비서 자바/코틀린 리드 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr//wd/233000
Backend Engineer (Java/Kotlin) - Senior,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr//wd/199109
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),합격보상금 100만원,https://www.wanted.co.kr//wd/205880
Backend Engineer (Java/Kotlin) - Middle,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr//wd/229118
Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr//wd/233753
[에어클래스] Kotlin/Spring Server Developer,큐리어슬리,합격보상금 100만원,https://www.wanted.co.kr//wd/94072
Backend Engineer (Kotlin),코인원(coinone),합격보상금 100만원,https://www.wanted.co.kr//wd/171459
Backend Kotlin Developer [5~12년],크몽(kmong),합격보상금 100만원,https://www.wanted.co.kr//wd/197273
안드로이드 개발자 (Kotlin),블록체인랩스,합격보상금 100만원,https://www.wanted.co.kr//wd/233609
공비서 자바/코틀린 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr//wd/137441
"백엔드 개발자 (Kotlin/Spring, 3년차~15년차)",스팬딧(Spendit),합격보상금 100만원,https://www.wanted.co.kr//wd/100640
