Title,Company,Location,Salary,URL
"
Lead Go Software Engineer Linea
","
Consensys ",EMEA - Remote,EMEA - Remote,https://remoteok.com/remote-jobs/remote-lead-go-software-engineer-linea-consensys-874982
"
Senior Software Engineer Golang
","
Roadie ",🌏 Probably worldwide,💰 $75k - $120k*,https://remoteok.com/remote-jobs/remote-senior-software-engineer-golang-roadie-873941
"
Blockchain Security Researcher
","
OpenZeppelin ",Remote - Worldwide,Remote - Worldwide,https://remoteok.com/remote-jobs/remote-blockchain-security-researcher-openzeppelin-873511
"
Principal Software Engineer Golang
","
Fanatics ",🌏 Probably worldwide,💰 $80k - $120k*,https://remoteok.com/remote-jobs/remote-principal-software-engineer-golang-fanatics-871146
"
Software Engineer Cloud
","
ZEDEDA ",🌏 Probably worldwide,💰 $60k - $100k*,https://remoteok.com/remote-jobs/remote-software-engineer-cloud-zededa-865244
"
Senior Lead Software Developer
","
RELEX Solutions ",🌏 Probably worldwide,💰 $73k - $120k*,https://remoteok.com/remote-jobs/remote-senior-lead-software-developer-relex-solutions-865245
"
Senior Lead Software Developer
","
RELEX ",🌏 Probably worldwide,💰 $73k - $120k*,https://remoteok.com/remote-jobs/remote-senior-lead-software-developer-relex-863453
"
Backend Golang Developer
","
Trust Wallet ","Global, OTHER","Global, OTHER",https://remoteok.com/remote-jobs/remote-backend-golang-developer-trust-wallet-863325
"
Senior Software Engineer Platform
","
Astronomer ",🌏 Probably worldwide,💰 $65k - $120k*,https://remoteok.com/remote-jobs/remote-senior-software-engineer-platform-astronomer-862542
"
Golang Software Engineer
","
ClickHouse ",🌏 Probably worldwide,💰 $80k - $120k*,https://remoteok.com/remote-jobs/remote-golang-software-engineer-clickhouse-861129
"
Software Engineer II Client Integrations
","
TrueML ",🌏 Probably worldwide,💰 $65k - $100k*,https://remoteok.com/remote-jobs/remote-software-engineer-ii-client-integrations-trueml-859286
"
Blockchain Integration Specialist
","
Bitfinex ",Remote job,Remote job,https://remoteok.com/remote-jobs/remote-blockchain-integration-specialist-bitfinex-856107
"
Staff Software Engineer
","
Stream ",🌏 Probably worldwide,💰 $60k - $100k*,https://remoteok.com/remote-jobs/remote-staff-software-engineer-stream-854837
"
FullStack Developer
","
Coralogix ",🌏 Probably worldwide,💰 $80k - $120k*,https://remoteok.com/remote-jobs/remote-fullstack-developer-coralogix-854836
"
Senior Software Engineer
","
Stream ",🌏 Probably worldwide,💰 $70k - $120k*,https://remoteok.com/remote-jobs/remote-senior-software-engineer-stream-853867
"
Senior Software Engineer
","
Tactic ",🌏 Probably worldwide,💰 $75k - $120k*,https://remoteok.com/remote-jobs/remote-senior-software-engineer-tactic-851806
